Record Type,Date,Time (system on),Time (system off),Upload (MB),Download (MB),Total (MB),Apps Used,Application,Month
DailyState,2025-05-28,,,42.91,389.41,106.89,,,
App,2025-05-28,,,735.77,5745.59,,,LockApp.exe,
App,2025-05-28,,,3115.99,27546.16,,,Code.exe,
App,2025-05-28,,,13198.61,116194.51,,,svchost.exe,
App,2025-05-28,,,6145.62,55825.79,,,WhatsApp.exe,
App,2025-05-28,,,1558.06,13225.91,,,Dropbox.exe,
App,2025-05-28,,,122.63,957.6,,,services.exe,
App,2025-05-28,,,447.03,3917.6,,,NortonSecurity.exe,
App,2025-05-28,,,429.21,3351.61,,,System,
App,2025-05-28,,,21364.1,188880.15,,,chrome.exe,
App,2025-05-28,,,122.63,957.6,,,lsass.exe,
App,2025-05-28,,,61.31,478.8,,,ollama.exe,
App,2025-05-28,,,906.24,8148.36,,,wpscloudsvr.exe,
App,2025-05-28,,,122.63,957.6,,,wininit.exe,
App,2025-05-28,,,122.63,957.6,,,spoolsv.exe,
App,2025-05-28,,,122.63,957.6,,,Bridge_Service.exe,
App,2025-05-28,,,228.96,1847.81,,,SearchApp.exe,
App,2025-05-28,,,245.27,1915.21,,,dasHost.exe,
App,2025-05-28,,,148.87,1350.94,,,cloudcode_cli.exe,
App,2025-05-28,,,51.46,464.97,,,smartscreen.exe,
App,2025-05-28,,,101.98,920.8,,,et.exe,
App,2025-05-28,,,51.06,461.04,,,wps.exe,
App,2025-05-28,,,145.74,1315.84,,,promecefpluginhost.exe,
App,2025-05-28,,,51.72,467.59,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,49.02,447.88,,,FileCoAuth.exe,
App,2025-05-28,,,370.35,3132.09,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,248.45,2254.06,,,msedge.exe,
App,2025-05-28,,,1902.23,15207.05,,,node.exe,
App,2025-05-28,,,50.09,452.69,,,git-remote-https.exe,
App,2025-05-28,,,154.89,1399.84,,,ollama app.exe,
DailyState,2025-05-28,,,42.91,389.41,108.79,,,
DailyState,2025-05-28,,,42.91,389.41,111.9,,,
DailyState,2025-05-28,,,42.91,389.41,113.84,,,
DailyState,2025-05-28,,,42.91,389.41,115.66,,,
DailyState,2025-05-28,,,42.91,389.41,117.75,,,
App,2025-05-28,,,756.4,5858.15,,,LockApp.exe,
App,2025-05-28,,,3364.66,29476.34,,,Code.exe,
App,2025-05-28,,,14428.22,125649.21,,,svchost.exe,
App,2025-05-28,,,6147.34,55835.17,,,WhatsApp.exe,
App,2025-05-28,,,1825.74,15262.59,,,Dropbox.exe,
App,2025-05-28,,,126.07,976.36,,,services.exe,
App,2025-05-28,,,512.13,4417.01,,,NortonSecurity.exe,
App,2025-05-28,,,441.23,3417.25,,,System,
App,2025-05-28,,,24312.77,211694.47,,,chrome.exe,
App,2025-05-28,,,126.07,976.36,,,lsass.exe,
App,2025-05-28,,,63.03,488.18,,,ollama.exe,
App,2025-05-28,,,907.95,8157.73,,,wpscloudsvr.exe,
App,2025-05-28,,,126.07,976.36,,,wininit.exe,
App,2025-05-28,,,126.07,976.36,,,spoolsv.exe,
App,2025-05-28,,,126.07,976.36,,,Bridge_Service.exe,
App,2025-05-28,,,234.11,1875.94,,,SearchApp.exe,
App,2025-05-28,,,252.13,1952.72,,,dasHost.exe,
App,2025-05-28,,,148.87,1350.94,,,cloudcode_cli.exe,
App,2025-05-28,,,51.46,464.97,,,smartscreen.exe,
App,2025-05-28,,,101.98,920.8,,,et.exe,
App,2025-05-28,,,51.06,461.04,,,wps.exe,
App,2025-05-28,,,145.74,1315.84,,,promecefpluginhost.exe,
App,2025-05-28,,,63.01,487.88,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,49.02,447.88,,,FileCoAuth.exe,
App,2025-05-28,,,370.5,3132.77,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,248.45,2254.06,,,msedge.exe,
App,2025-05-28,,,1936.59,15394.62,,,node.exe,
App,2025-05-28,,,50.09,452.69,,,git-remote-https.exe,
App,2025-05-28,,,154.89,1399.84,,,ollama app.exe,
App,2025-05-28,,,62.05,481.75,,,browser_assistant.exe,
DailyState,2025-05-28,,,42.91,389.41,119.52,,,
DailyState,2025-05-28,,,42.91,389.41,121.62,,,
DailyState,2025-05-28,,,42.91,389.41,123.53,,,
DailyState,2025-05-28,,,42.91,389.41,130.53,,,
DailyState,2025-05-28,,,42.91,389.41,132.97,,,
App,2025-05-28,,,779.94,6015.74,,,LockApp.exe,
App,2025-05-28,,,3558.05,30971.26,,,Code.exe,
App,2025-05-28,,,15067.87,130525.93,,,svchost.exe,
App,2025-05-28,,,6149.3,55848.28,,,WhatsApp.exe,
App,2025-05-28,,,1847.32,15407.03,,,Dropbox.exe,
App,2025-05-28,,,129.99,1002.52,,,services.exe,
App,2025-05-28,,,516.05,4443.18,,,NortonSecurity.exe,
App,2025-05-28,,,454.98,3509.53,,,System,
App,2025-05-28,,,34858.24,293196.66,,,chrome.exe,
App,2025-05-28,,,130.0,1002.7,,,lsass.exe,
App,2025-05-28,,,64.99,501.26,,,ollama.exe,
App,2025-05-28,,,909.92,8170.99,,,wpscloudsvr.exe,
App,2025-05-28,,,129.99,1002.52,,,wininit.exe,
App,2025-05-28,,,129.99,1002.52,,,spoolsv.exe,
App,2025-05-28,,,129.99,1002.7,,,Bridge_Service.exe,
App,2025-05-28,,,240.0,1915.37,,,SearchApp.exe,
App,2025-05-28,,,259.99,2005.52,,,dasHost.exe,
App,2025-05-28,,,148.87,1350.94,,,cloudcode_cli.exe,
App,2025-05-28,,,51.46,464.97,,,smartscreen.exe,
App,2025-05-28,,,101.98,920.8,,,et.exe,
App,2025-05-28,,,51.06,461.04,,,wps.exe,
App,2025-05-28,,,145.74,1315.84,,,promecefpluginhost.exe,
App,2025-05-28,,,63.01,487.88,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,44.23,401.92,,,gamingservices.exe,
App,2025-05-28,,,49.02,447.88,,,FileCoAuth.exe,
App,2025-05-28,,,370.5,3132.77,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,248.45,2254.06,,,msedge.exe,
App,2025-05-28,,,1942.07,15434.82,,,node.exe,
App,2025-05-28,,,50.09,452.69,,,git-remote-https.exe,
App,2025-05-28,,,154.89,1399.84,,,ollama app.exe,
App,2025-05-28,,,62.05,481.75,,,browser_assistant.exe,
DailyState,2025-05-28,,,42.91,389.41,145.0,,,
DailyState,2025-05-28,,,42.91,389.41,151.53,,,
DailyState,2025-05-28,,,42.91,389.41,153.29,,,
DailyState,2025-05-28,,,42.91,389.41,155.35,,,
DailyState,2025-05-28,,,42.91,389.41,157.22,,,
App,2025-05-28,,,836.39,6246.42,,,LockApp.exe,
App,2025-05-28,,,3977.93,34094.32,,,Code.exe,
App,2025-05-28,,,17532.62,148562.84,,,svchost.exe,
App,2025-05-28,,,7199.13,63670.46,,,WhatsApp.exe,
App,2025-05-28,,,2037.97,16656.15,,,Dropbox.exe,
App,2025-05-28,,,139.4,1041.07,,,services.exe,
App,2025-05-28,,,594.89,4999.82,,,NortonSecurity.exe,
App,2025-05-28,,,487.9,3643.75,,,System,
App,2025-05-28,,,41829.09,344561.8,,,chrome.exe,
App,2025-05-28,,,139.4,1041.07,,,lsass.exe,
App,2025-05-28,,,69.7,520.54,,,ollama.exe,
App,2025-05-28,,,914.62,8190.09,,,wpscloudsvr.exe,
App,2025-05-28,,,139.4,1041.07,,,wininit.exe,
App,2025-05-28,,,139.4,1041.07,,,spoolsv.exe,
App,2025-05-28,,,139.4,1041.07,,,Bridge_Service.exe,
App,2025-05-28,,,249.44,1952.95,,,SearchApp.exe,
App,2025-05-28,,,278.8,2082.14,,,dasHost.exe,
App,2025-05-28,,,168.6,1419.85,,,cloudcode_cli.exe,
App,2025-05-28,,,51.46,464.97,,,smartscreen.exe,
App,2025-05-28,,,101.98,920.8,,,et.exe,
App,2025-05-28,,,51.06,461.04,,,wps.exe,
App,2025-05-28,,,145.74,1315.84,,,promecefpluginhost.exe,
App,2025-05-28,,,69.68,520.22,,,SDXHelper.exe,
App,2025-05-28,,,46.31,425.62,,,MpDefenderCoreService.exe,
App,2025-05-28,,,44.21,401.64,,,MsMpEng.exe,
App,2025-05-28,,,69.48,518.89,,,gamingservices.exe,
App,2025-05-28,,,69.22,516.84,,,FileCoAuth.exe,
App,2025-05-28,,,447.99,3691.48,,,backgroundTaskHost.exe,
App,2025-05-28,,,138.85,1274.96,,,explorer.exe,
App,2025-05-28,,,248.45,2254.06,,,msedge.exe,
App,2025-05-28,,,2010.99,15950.32,,,node.exe,
App,2025-05-28,,,50.09,452.69,,,git-remote-https.exe,
App,2025-05-28,,,154.89,1399.84,,,ollama app.exe,
App,2025-05-28,,,62.05,481.75,,,browser_assistant.exe,
DailyState,2025-05-28,,,42.91,389.41,159.13,,,
DailyState,2025-05-28,,,42.91,389.41,161.3,,,
DailyState,2025-05-28,,,42.91,389.41,163.34,,,
DailyState,2025-05-28,,,42.91,389.41,165.07,,,
DailyState,2025-05-28,,,42.91,389.41,166.76,,,
App,2025-05-28,,,848.62,6346.0,,,LockApp.exe,
